Aguayo Roberto,New England
Ammendola Matt,Carolina
Badgley Michael,LA Chargers
Bass Tyler,Buffalo
Blankenship Rodrigo,Indianapolis
Boswell Chris,Pittsburgh
Bullock Randy,Detroit
Butker Harrison,Kansas City
Crosby Mason,Green Bay
Eberle Dominik,Las Vegas
Elliott Jake,Philadelphia
Fairbairn Ka'imi,Houston
Ficken Sam,NY Jets
Folk Nick,New England
Fry Elliott,Atlanta
Gano Graham,NY Giants
Gay Matt,LA Rams
Gould Robbie,San Francisco
Hopkins Dustin,Washington
Joseph Greg,Minnesota
Koo Younghoe,Atlanta
Lambo Josh,Jacksonville
Lutz Wil,New Orleans
MacGinnis Austin,LA Rams
McCann Tucker,Tennessee
McCrane Matthew,Cleveland
McLaughlin Chase,NY Jets
McManus Brandon,Denver
Molson JJ,Green Bay
Myers Jason,Seattle
Parkey Cody,Cleveland
Prater Matt,Arizona
Rosas Aldrick,Jacksonville
Sanders Jason,Miami
Santos Cairo,Chicago
Seibert Austin,Cincinnati
Slye Joey,Carolina
Succop Ryan,Tampa Bay
Tucker Justin,Baltimore
Vizcaino Tristan,LA Chargers
Wright Matthew,Detroit
Zuerlein Greg,Dallas
