Akins Jordan,Houston
Anderson Stephen,LA Chargers
Andrews Mark,Baltimore
Arnold Dan,Carolina
Asiasi Devin,New England
Auclair Antony,Houston
Baugh Marcus,Washington
Baylis Evan,Kansas City
Becker Nate,Buffalo
Becker Ryan,Atlanta
Bell Blake,Kansas City
Berry Rashod,New England
Blanton Kendall,LA Rams
Bowers Nick,Las Vegas
Boyle Nick,Baltimore
Brate Cameron,Tampa Bay
Breeland Jacob,Baltimore
Brown Pharaoh,Houston
Bryant Harrison,Cleveland
Bryant Hunter,Detroit
Bunting Ian,Arizona
Carlson Stephen,Cleveland
Carrier Derek,Las Vegas
Carter Cethan,Miami
Clark Darion,Chicago
Conklin Tyler,Minnesota
Cook Jared,LA Chargers
Croom Jason,Philadelphia
Culkin Sean,Kansas City
Dafney Dominique,Green Bay
Daniels Darrell,Arizona
Davis Connor,NY Jets
Davis Tyler,Jacksonville
Deguara Josiah,Green Bay
Dillon Brandon,Minnesota
Dissly Will,Seattle
Doyle Jack,Indianapolis
Dwelley Ross,San Francisco
Ebron Eric,Pittsburgh
Ellefson Ben,Jacksonville
Engram Evan,NY Giants
Ertz Zach,Philadelphia
Everett Gerald,Seattle
Fant Noah,Denver
Firkser Anthony,Tennessee
Fort Austin,Denver
Franks Jordan,Cleveland
Gentry Zach,Pittsburgh
Gesicki Mike,Miami
Gilliam Reggie,Buffalo
Goedert Dallas,Philadelphia
Graham Jaeden,Atlanta
Graham Jimmy,Chicago
Green Farrod,Indianapolis
Griffin Garrett,New Orleans
Griffin Ryan,NY Jets
Griffin-Stewart Nakia,NY Giants
Gronkowski Rob,Tampa Bay
Helm Daniel,San Francisco
Hemingway Temarrick,Washington
Henry Hunter,New England
Herndon IV Chris,NY Jets
Higbee Tyler,LA Rams
Hikutini Cole,NY Giants
Hill Josh,Detroit
Hill Taysom,New Orleans
Hockenson T.J.,Detroit
Hollister Jacob,Buffalo
Holtz J.P.,Chicago
Hooper Austin,Cleveland
Hopkins Brycen,LA Rams
Horsted Jesper,Chicago
Howard O.J.,Tampa Bay
Hudson Tanner,Tampa Bay
Hudson Tommy,Tennessee
Hurst Hayden,Atlanta
Izzo Ryan,Houston
Jarwin Blake,Dallas
John Rysen,NY Giants
Jones Charles,Pittsburgh
Keene Dalton,New England
Keizer Nick,Kansas City
Kelce Travis,Kansas City
Kittle George,San Francisco
Kmet Cole,Chicago
Knox Dawson,Buffalo
Kroft Tyler,NY Jets
LaCosse Matt,New England
Lewis Marcedes,Green Bay
Mabry Tyler,Seattle
Mack Alize,Detroit
Manhertz Chris,Jacksonville
Markway Kyle,Cleveland
McKeon Sean,Dallas
Moreau Foster,Las Vegas
Moss Thaddeus,Cincinnati
Mundt John,LA Rams
Myarick Chris,Miami
Nauta Isaac,Green Bay
Njoku David,Cleveland
O'Shaughnessy James,Jacksonville
Okwuegbunam Albert,Denver
Oliver Josh,Baltimore
Parham Donald,LA Chargers
Parkinson Colby,Seattle
Pinkney Jared,Tennessee
Rader Kevin,Pittsburgh
Raymond Dax,Pittsburgh
Reyes Sammis,Washington
Ricci Giovanni,Carolina
Rudolph Kyle,NY Giants
Sample Drew,Cincinnati
Schreck Mason,Cincinnati
Schultz Dalton,Dallas
Shaheen Adam,Miami
Smith Irv,Minnesota
Smith Jonnu,New England
Smith Kaden,NY Giants
Smith Lee,Atlanta
Smythe Durham,Miami
Sokol Matt,LA Chargers
Sprinkle Jeremy,Dallas
Sternberger Jace,Green Bay
Sullivan Stephen,Carolina
Swaim Geoff,Tennessee
Swoopes Tyrone,Washington
Thedford Hunter,Detroit
Thomas Ian,Carolina
Thomas Jordan,Indianapolis
Thomas Logan,Washington
Thompson Colin,Carolina
Togiai Noah,Indianapolis
Toilolo Levine,NY Giants
Tomlinson Eric,Baltimore
Trautman Adam,New Orleans
Uzomah C.J.,Cincinnati
Vannett Nick,New Orleans
Vollert Andrew,Indianapolis
Waller Darren,Las Vegas
Warring Kahale,Houston
Wesco Trevon,NY Jets
Wieting Nate,NY Giants
Wilcox Mitchell,Cincinnati
Williams Maxx,Arizona
Wilson Caleb,Philadelphia
Woerner Charlie,San Francisco
Wolf Eli,Baltimore
Wolf Ethan,New Orleans
